trip_id,trip_property_id,value
71944873,note,Waits at South Station for last Red Line train
71944873,trip_type,wait
71944970,note,Waits at Temple Pl @ Washington St for last Red Line and Orange Line trains
71944970,trip_type,wait
71945131,note,Waits at Mattapan for last Mattapan Trolley train
71945131,trip_type,wait
71945147,note,Waits at Ruggles for last Orange Line train
71945147,trip_type,wait
71947988,note,Waits at South Station for last Red Line train
71947988,trip_type,wait
71947991,note,Waits at South Station for last Red Line train
71947991,trip_type,wait
71948142,note,Waits at Temple Pl @ Washington St for last Red Line and Orange Line trains
71948142,trip_type,wait
71948404,note,Waits at Ruggles for last Orange Line train
71948404,trip_type,wait
71948427,note,Waits at Mattapan for last Mattapan Trolley train
71948427,trip_type,wait
71948970,note,Waits at Back Bay for last Orange Line train
71948970,trip_type,wait
71949418,note,Waits at Temple Pl @ Washington St for last Red Line and Orange Line trains
71949418,trip_type,wait
71949649,note,Waits at South Station for last Red Line train
71949649,trip_type,wait
71949982,note,Waits at South Station for last Red Line train
71949982,trip_type,wait
71950205,note,Waits at Back Bay for last Orange Line train
71950205,trip_type,wait
71950552,note,Waits at Mattapan for last Mattapan Trolley train
71950552,trip_type,wait
71950553,note,Waits at Ruggles for last Orange Line train
71950553,trip_type,wait
71953391,note,Waits at Orient Heights for last Blue Line train
71953391,trip_type,wait
71953698,note,Waits at Orient Heights for last Blue Line train
71953698,trip_type,wait
71955059,note,Waits at Harvard for last Red Line train
71955059,trip_type,wait
71955185,note,Waits at Wellington for last Orange Line train
71955185,trip_type,wait
71955214,note,Waits at Sullivan Square for last Orange Line train
71955214,trip_type,wait
71955323,note,Waits at Sullivan Square for last Orange Line train
71955323,trip_type,wait
71955626,note,Waits at Malden Center for last Orange Line train
71955626,trip_type,wait
71955634,note,Waits at Airport for last Blue Line train
71955634,trip_type,wait
71955791,note,Waits at Malden Center for last Orange Line train
71955791,trip_type,wait
71956022,note,Waits at Wellington for last Orange Line train
71956022,trip_type,wait
71987520,note,Does not run during school vacation
71987520,trip_type,supplemental
71987610,note,Does not run during school vacation
71987610,trip_type,supplemental
71987612,note,Waits at Quincy Center for last Red Line train
71987612,trip_type,wait
71987632,note,Does not run during school vacation
71987632,trip_type,supplemental
71987711,note,Does not run during school vacation
71987711,trip_type,supplemental
71987717,note,Does not run during school vacation
71987717,trip_type,supplemental
71987742,note,Does not run during school vacation
71987742,trip_type,supplemental
71987772,note,Does not run during school vacation
71987772,trip_type,supplemental
71987818,note,Does not run during school vacation
71987818,trip_type,supplemental
71987835,note,Does not run during school vacation
71987835,trip_type,supplemental
71987895,note,Does not run during school vacation
71987895,trip_type,supplemental
71987925,note,Does not run during school vacation
71987925,trip_type,supplemental
71987930,note,Waits at Fields Corner for last Red Line train
71987930,trip_type,wait
71987952,note,Does not run during school vacation
71987952,trip_type,supplemental
71987997,note,Does not run during school vacation
71987997,trip_type,supplemental
71988088,note,Waits at Ashmont for last Red Line train
71988088,trip_type,wait
71988626,note,Waits at Fields Corner for last Red Line train
71988626,trip_type,wait
71988696,note,Waits at Quincy Center for last Red Line train
71988696,trip_type,wait
71989132,note,Waits at Quincy Center for last Red Line train
71989132,trip_type,wait
71989296,note,Waits at Fields Corner for last Red Line train
71989296,trip_type,wait
71991094,note,Waits at Quincy Center for last Red Line train
71991094,trip_type,wait
71991403,note,Waits at Fields Corner for last Red Line train
71991403,trip_type,wait
71991559,note,Waits at Ashmont for last Red Line train
71991559,trip_type,wait
71993419,note,Does not run during school vacation
71993419,trip_type,supplemental
71993561,note,Waits at Wellington for last Orange Line train
71993561,trip_type,wait
71993680,note,Waits at Wellington for last Orange Line train
71993680,trip_type,wait
71994207,note,Waits at Sullivan Square for last Orange Line train
71994207,trip_type,wait
71994227,note,Does not run during school vacation
71994227,trip_type,supplemental
71994241,note,Does not run during school vacation
71994241,trip_type,supplemental
71994254,note,Does not run during school vacation
71994254,trip_type,supplemental
71994269,note,Waits at Wellington for last Orange Line train
71994269,trip_type,wait
71994365,note,Waits at Harvard for last Red Line train
71994365,trip_type,wait
71994382,note,Does not run during school vacation
71994382,trip_type,supplemental
71994616,note,Waits at Malden Center for last Orange Line train
71994616,trip_type,wait
71994698,note,Waits at Sullivan Square for last Orange Line train
71994698,trip_type,wait
71994868,note,Waits at Airport for last Blue Line train
71994868,trip_type,wait
71994880,note,Waits at Malden Center for last Orange Line train
71994880,trip_type,wait
